created mesh LOD3spShape-lib
add scene_node id=LOD3sp sid=(null)
add scene_node id=camera1 sid=(null)
add scene_node id=directionalLight1 sid=(null)
add mesh instance LOD3spShape-lib+blinn3SG
    0 i=    0 m=[  -63.000,   247.000,     0.000] w=[  -63.000,   247.000,     0.000] p=[   -0.161,     0.648,     0.000]
    1 i=    1 m=[  -56.000,   247.000,     0.000] w=[  -56.000,   247.000,     0.000] p=[   -0.143,     0.648,     0.000]
    2 i=    2 m=[  -63.000,   239.000,     0.000] w=[  -63.000,   239.000,     0.000] p=[   -0.161,     0.627,     0.000]
    3 i=    2 m=[  -63.000,   239.000,     0.000] w=[  -63.000,   239.000,     0.000] p=[   -0.161,     0.627,     0.000]
    4 i=    1 m=[  -56.000,   247.000,     0.000] w=[  -56.000,   247.000,     0.000] p=[   -0.143,     0.648,     0.000]
    5 i=    3 m=[  -56.000,   239.000,     0.000] w=[  -56.000,   239.000,     0.000] p=[   -0.143,     0.627,     0.000]
    6 i=    4 m=[  -55.000,   245.000,     0.000] w=[  -55.000,   245.000,     0.000] p=[   -0.140,     0.643,     0.000]
    7 i=    5 m=[  -49.000,   245.000,     0.000] w=[  -49.000,   245.000,     0.000] p=[   -0.125,     0.643,     0.000]
    8 i=    6 m=[  -55.000,   239.000,     0.000] w=[  -55.000,   239.000,     0.000] p=[   -0.140,     0.627,     0.000]
    9 i=    6 m=[  -55.000,   239.000,     0.000] w=[  -55.000,   239.000,     0.000] p=[   -0.140,     0.627,     0.000]
   10 i=    5 m=[  -49.000,   245.000,     0.000] w=[  -49.000,   245.000,     0.000] p=[   -0.125,     0.643,     0.000]
   11 i=    7 m=[  -49.000,   239.000,     0.000] w=[  -49.000,   239.000,     0.000] p=[   -0.125,     0.627,     0.000]
   12 i=    8 m=[  -47.000,   248.000,     0.000] w=[  -47.000,   248.000,     0.000] p=[   -0.120,     0.651,     0.000]
   13 i=    9 m=[  -40.000,   248.000,     0.000] w=[  -40.000,   248.000,     0.000] p=[   -0.102,     0.651,     0.000]
   14 i=   10 m=[  -47.000,   239.000,     0.000] w=[  -47.000,   239.000,     0.000] p=[   -0.120,     0.627,     0.000]
   15 i=   10 m=[  -47.000,   239.000,     0.000] w=[  -47.000,   239.000,     0.000] p=[   -0.120,     0.627,     0.000]
   16 i=    9 m=[  -40.000,   248.000,     0.000] w=[  -40.000,   248.000,     0.000] p=[   -0.102,     0.651,     0.000]
   17 i=   11 m=[  -40.000,   239.000,     0.000] w=[  -40.000,   239.000,     0.000] p=[   -0.102,     0.627,     0.000]
   18 i=   12 m=[  -39.000,   248.000,     0.000] w=[  -39.000,   248.000,     0.000] p=[   -0.099,     0.651,     0.000]
   19 i=   13 m=[  -32.000,   248.000,     0.000] w=[  -32.000,   248.000,     0.000] p=[   -0.082,     0.651,     0.000]
   20 i=   14 m=[  -39.000,   239.000,     0.000] w=[  -39.000,   239.000,     0.000] p=[   -0.099,     0.627,     0.000]
   21 i=   14 m=[  -39.000,   239.000,     0.000] w=[  -39.000,   239.000,     0.000] p=[   -0.099,     0.627,     0.000]
   22 i=   13 m=[  -32.000,   248.000,     0.000] w=[  -32.000,   248.000,     0.000] p=[   -0.082,     0.651,     0.000]
   23 i=   15 m=[  -32.000,   239.000,     0.000] w=[  -32.000,   239.000,     0.000] p=[   -0.082,     0.627,     0.000]
   24 i=   16 m=[  -31.000,   245.000,     0.000] w=[  -31.000,   245.000,     0.000] p=[   -0.079,     0.643,     0.000]
   25 i=   17 m=[  -25.000,   245.000,     0.000] w=[  -25.000,   245.000,     0.000] p=[   -0.064,     0.643,     0.000]
   26 i=   18 m=[  -31.000,   239.000,     0.000] w=[  -31.000,   239.000,     0.000] p=[   -0.079,     0.627,     0.000]
   27 i=   18 m=[  -31.000,   239.000,     0.000] w=[  -31.000,   239.000,     0.000] p=[   -0.079,     0.627,     0.000]
   28 i=   17 m=[  -25.000,   245.000,     0.000] w=[  -25.000,   245.000,     0.000] p=[   -0.064,     0.643,     0.000]
   29 i=   19 m=[  -25.000,   239.000,     0.000] w=[  -25.000,   239.000,     0.000] p=[   -0.064,     0.627,     0.000]
